100			
0	2	23	34
1	0		
2	1	72	
3	1	76	
4	1	89	
5	0		
6	1	8	
7	0		
8	1	77	
9	2	16	45
10	1	18	
11	1	14	
12	2	28	0
13	1	85	
14	1	89	
15	2	46	83
16	2	2	33
17	2	35	18
18	2	40	51
19	2	21	5
20	1	2	
21	1	14	
22	1	86	
23	0		
24	0		
25	2	62	46
26	2	69	35
27	0		
28	1	16	
29	1	36	
30	2	67	7
31	1	76	
32	2	4	26
33	1	66	
34	2	84	59
35	2	84	33
36	1	69	
37	0		
38	1	9	
39	1	15	
40	1	77	
41	1	36	
42	1	55	
43	0		
44	0		
45	2	30	95
46	2	65	99
47	1	18	
48	0		
49	0		
50	0		
51	0		
52	0		
53	0		
54	0		
55	0		
56	0		
57	0		
58	2	93	51
59	0		
60	0		
61	2	21	94
62	0		
63	2	32	42
64	2	67	61
65	2	9	36
66	0		
67	1	61	
68	2	90	75
69	1	70	
70	2	86	10
71	2	7	40
72	1	60	
73	0		
74	2	30	7
75	1	96	
76	1	28	
77	1	21	
78	1	24	
79	2	61	49
80	0		
81	1	61	
82	1	31	
83	2	26	20
84	1	20	
85	0		
86	1	7	
87	1	57	
88	1	48	
89	0		
90	0		
91	1	10	
92	1	9	
93	2	48	3
94	2	52	59
95	0		
96	1	42	
97	1	11	
98	2	62	54
99	1	80	
