Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
199,-180,-180,-178.76501,-183,-182.6,-184.60411,-1.23499,-1.23499,1.60411,2.00411,1.52521,1.52521,2.57315,4.01644,0.0019834,0.0019834,0.0033461,0.0052229
200,-180,-180,-178.70773,-183,-182.6,-184.56557,-1.29227,-1.29227,1.56557,1.96557,1.66996,1.66996,2.45102,3.86347,0.0021716,0.0021716,0.0031873,0.005024
201,-180,-180,-178.65045,-183,-182.6,-184.52704,-1.34955,-1.34955,1.52704,1.92704,1.82128,1.82128,2.33185,3.71348,0.0023684,0.0023684,0.0030323,0.004829
202,-180,-180,-178.59743,-183,-182.6,-184.48851,-1.40257,-1.40257,1.48851,1.88851,1.96721,1.96721,2.21565,3.56646,0.0025581,0.0025581,0.0028812,0.0046378
203,-180,-180,-178.58932,-183,-182.6,-184.44997,-1.41068,-1.41068,1.44997,1.84997,1.99003,1.99003,2.10243,3.4224,0.0025878,0.0025878,0.002734,0.0044505
204,-180,-180,-178.58734,-183,-182.6,-184.41144,-1.41266,-1.41266,1.41144,1.81144,1.9956,1.9956,1.99217,3.28132,0.0025951,0.0025951,0.0025906,0.004267
205,-180,-180,-178.58601,-183,-182.6,-184.37187,-1.41399,-1.41399,1.37187,1.77187,1.99937,1.99937,1.88202,3.13951,0.0026,0.0026,0.0024474,0.0040826
206,-180,-180,-178.58467,-183,-182.6,-184.33119,-1.41533,-1.41533,1.33119,1.73119,2.00316,2.00316,1.77208,2.99703,0.0026049,0.0026049,0.0023044,0.0038973
207,-180,-180,-178.58333,-183,-182.6,-184.29052,-1.41667,-1.41667,1.29052,1.69052,2.00694,2.00694,1.66545,2.85786,0.0026098,0.0026098,0.0021657,0.0037163
208,-180,-180,-178.58267,-182.9,-182.6,-184.24985,-1.41733,-1.41733,1.34985,1.64985,2.00883,2.00883,1.82209,2.722,0.0026123,0.0026123,0.0023694,0.0035397
